Year,State,District,Season,Crop,Area_ha,Rainfall_mm,Fertilizer_kg_ha,Tmin_C,Tmax_C,SOC_pct,Production_t,Yield_t_ha
2002,Uttar Pradesh,District_1,Rabi,Groundnut,1843.2921859730354,834.3,212.5,24.7,29.1,0.72,4076.3335548621462,2.211441889615745
2018,Madhya Pradesh,District_2,Rabi,Pulses,155.53,618.4,189.1,15.6,36.5,1.2,143.82,0.9247090593454639
2015,West Bengal,District_3,Rabi,Maize,47.29,716.0,102.6,24.2,29.1,1.06,124.21,2.626559526326919
2010,Tamil Nadu,District_4,Rabi,Mustard,84.76,1154.2,176.8,16.5,35.2,0.39,100.09,1.1808636149126945
2010,Punjab,District_5,Kharif,Groundnut,574.2,,180.7,16.6,30.7,1.14,991.3,1.7264019505398813
2020,Uttar Pradesh,District_6,Kharif,Mustard,192.34,628.0,157.6,19.3,31.9,1.14,237.89,1.2368202142040137
2002,Maharashtra,District_7,Rabi,Sugarcane,155.95,917.2,,19.0,33.7,0.51,12398.7,79.50432831035589
2016,Rajasthan,District_8,Kharif,Barley,655.63,817.9,152.5,15.3,30.2,0.17,1172.1,1.7877461373030519
2004,Haryana,District_9,Kharif,Cotton,522.75,1609.9,153.0,21.9,33.7,,1325.22,2.535093256814921
2002,West Bengal,District_10,Kharif,Barley,248.31,912.7,149.8,,25.9,1.08,604.33,2.433772300753091
2012,Odisha,District_11,Rabi,Maize,205.19,766.3,64.3,23.2,33.3,1.2,480.41,2.3412934353526
2023,Tamil Nadu,District_12,Rabi,Maize,226.05,1162.4,141.8,18.7,24.6,0.58,678.51,3.0015925680159254
2017,Madhya Pradesh,District_13,Rabi,Pulses,280.42,445.0,118.3,,31.3,1.24,227.9,0.8127095071678196
2018,Telangana,District_14,Kharif,Pulses,639.08,870.8,97.5,19.9,34.6,0.24,455.55,0.7128215559867309
2017,Bihar,District_15,Kharif,Mustard,315.29,1288.8,202.4,25.1,33.9,0.71,618.92,1.963018173744806
2018,Bihar,District_16,Rabi,Maize,378.27,824.4,165.2,11.5,28.1,0.7,1077.26,2.8478599941840486
2012,Maharashtra,District_17,Kharif,Barley,493.52,468.7,143.8,17.1,28.5,1.09,950.16,1.9252715188847462
2003,Rajasthan,District_18,Rabi,Cotton,121.29,762.9,,20.0,29.9,1.12,194.3,1.6019457498557177
2020,Tamil Nadu,District_19,Rabi,Pulses,384.87,1170.0,156.8,16.7,,1.04,536.9,1.3950164990776106
2010,Madhya Pradesh,District_20,Kharif,Sorghum,205.05,932.7,184.7,19.2,,0.46,287.01,1.3997073884418434
2012,Punjab,District_21,Kharif,Pulses,54.07,665.5,111.9,19.6,32.0,1.02,51.29,0.9485851673756241
2008,Maharashtra,District_22,Kharif,Groundnut,68.24,699.2,144.8,,32.9,0.93,93.7,1.3730949589683472
2004,West Bengal,District_23,Summer,Sorghum,132.84,726.9,179.7,20.2,31.2,0.38,164.0,1.2345679012345678
2022,Punjab,District_24,Rabi,Sorghum,336.55,929.5,67.6,21.9,33.6,0.28,334.14,0.9928391026593373
2018,Kerala,District_25,Kharif,Sugarcane,261.98,1144.4,142.7,19.3,32.7,1.06,24905.0,95.06450874112527
2015,West Bengal,District_26,Summer,Sugarcane,273.31,1081.5,127.8,18.6,30.4,0.75,21325.34,78.02619735831108
2009,Bihar,District_27,Kharif,Wheat,788.84,950.3,139.6,19.5,26.2,0.48,2503.34,3.173444551493332
2019,West Bengal,District_28,Kharif,Pulses,114.27,557.0,,20.0,32.4,0.75,84.5,0.7394766780432309
2013,Chhattisgarh,District_29,Summer,Sorghum,240.7,557.9,150.5,14.8,29.1,0.89,262.98,1.092563356875779
2010,Haryana,District_30,Kharif,Sugarcane,293.73,967.3,221.9,21.4,30.3,0.78,27502.27,93.63112382119633
2010,Telangana,District_31,Kharif,Cotton,157.31,554.0,132.0,18.6,33.4,0.41,165.07,1.0493293496916916
2005,Rajasthan,District_32,Rabi,Wheat,248.89,800.4,156.7,23.8,36.3,1.27,964.51,3.875246092651372
2002,West Bengal,District_33,Kharif,Cotton,93.69,,224.8,21.8,31.9,1.05,197.41,2.107055181983136
2013,Rajasthan,District_34,Rabi,Maize,570.18,599.7,123.0,23.5,33.7,0.72,1236.23,2.1681398856501457
2021,Punjab,District_35,Kharif,Sorghum,904.6120251309598,624.7,217.6,17.0,27.7,,1055.2621245608498,1.1665355923254288
2001,Karnataka,District_36,Kharif,Pulses,827.86,829.3,145.2,18.9,32.7,0.89,846.95,1.0230594544971372
2020,Andhra Pradesh,District_37,Kharif,Wheat,239.97,960.8,216.3,16.3,31.8,0.52,841.98,3.508688586073259
2019,Bihar,District_38,Kharif,Rice,453.43,1083.5,175.0,,35.7,0.88,1867.84,4.119356901837108
2006,Haryana,District_39,Kharif,Barley,236.99,983.6,157.3,23.8,30.4,0.47,484.73,2.0453605637368666
2015,Andhra Pradesh,District_40,Kharif,Sorghum,240.22,866.2,142.4,24.5,31.3,0.78,299.57,1.2470651902422778
2003,Maharashtra,District_1,Summer,Mustard,172.36,685.8,120.0,16.6,35.2,0.51,150.33,0.8721861220700858
2018,Tamil Nadu,District_2,Kharif,Wheat,262.82,614.4,148.0,18.6,31.7,0.52,736.39,2.801879613423636
2016,West Bengal,District_3,Kharif,Rice,296.13,737.6,180.9,19.8,28.7,1.21,978.91,3.3056765609698444
2008,Madhya Pradesh,District_4,Kharif,Wheat,152.85,940.2,144.5,21.8,39.7,0.81,464.35,3.0379456983971216
2001,Uttar Pradesh,District_5,Kharif,Mustard,227.01,924.1,132.3,14.7,28.8,0.85,267.66,1.1790670014536806
2023,West Bengal,District_6,Kharif,Mustard,169.68,388.0,135.0,15.2,31.8,0.3,131.48,0.7748703441772747
2010,Telangana,District_7,Rabi,Barley,972.43,677.2,184.7,21.5,33.0,0.65,1721.62,1.7704307765083347
2021,Madhya Pradesh,District_8,Kharif,Rice,231.87,1115.0,194.0,14.2,32.8,0.92,1000.6,4.315349118040281
2016,Karnataka,District_9,Summer,Wheat,618.4,867.4,118.3,18.7,31.4,0.85,1878.4,3.03751617076326
2018,West Bengal,District_10,Summer,Sorghum,217.59,538.3,118.3,20.5,31.4,0.26,198.37,0.9116687347764144
2018,Gujarat,District_11,Kharif,Sorghum,285.88,1368.3,160.2,21.2,31.3,0.85,506.96,1.7733314677487058
2004,Kerala,District_12,Kharif,Mustard,110.74,843.6,206.1,,28.7,0.89,142.39,1.2858045873216544
2008,Bihar,District_13,Kharif,Wheat,187.12,934.6,190.8,18.9,38.5,1.12,696.6,3.7227447627191106
2011,Tamil Nadu,District_14,Rabi,Rice,277.64,937.9,94.9,22.5,31.3,,873.9,3.1476012102002593
2011,Punjab,District_15,Kharif,Rice,633.72,769.1,134.4,20.9,33.8,0.24,1479.75,2.335021776178754
